"Marca temporal","Le gustaría que Acotur implementará un aplicativo para el agendamiento de citas ","Cree usted que con un aplicativo de agendamiento de citas se podrá controlar el tiempo de respuesta  ","Le parece más práctico realizar un agendamiento de citas online ","Considera que este servicio  suple las necesidades a nivel usuarios y/o institucionales en el agendamiento de citas. ","Le gustaría que el aplicativo desarrollado sea un software de: (escritorio/web)¿Por qué?"
"2019/11/16 8:19:28 p. m. GMT","Si","No","Si","","todas "
"2019/12/13 2:38:32 a. m. GMT","Si","No","Si","Si","Web "
"2019/12/13 2:41:40 a. m. GMT","Si","No","Si","No","Web  por que es más dinámico y publico "
"2019/12/13 2:46:02 a. m. GMT","Si","Si","Si","Si","Me gustaría que el aplicativo sea tipo web por que se puede manejar desde cualquier dispositivo móvil. "
"2019/12/13 2:46:30 a. m. GMT","Si","Si","Si","Si","permite  tener un control "
"2019/12/13 2:48:39 a. m. GMT","Si","Si","Si","Si","Tipo web por que el de escritorio es muy limitado debido a que no cuenta con la necesidad para todas las personas en modo fácil. "
"2019/12/13 3:38:29 a. m. GMT","Si","Si","Si","Si","Escritorio"
"2019/12/13 3:39:12 a. m. GMT","Si","Si","No","No","Escritorio por que es más seguro."
"2019/12/13 3:39:21 a. m. GMT","Si","No","No","Si","De esta forma hay un control para cada evento "
"2019/12/13 3:39:58 a. m. GMT","Si","No","No","Si","Web para mayor promoción  de información. "
"2019/12/13 3:49:19 a. m. GMT","Si","Si","Si","Si","Mayor facilidad de uso "
"2019/12/13 3:51:27 a. m. GMT","Si","Si","Si","Si","Es mas practico su uso "
"2019/12/13 3:57:57 a. m. GMT","Si","Si","Si","Si","Si, sería más práctico usarlo "
"2019/12/13 4:03:00 a. m. GMT","Si","Si","Si","Si","Agilizaria el tiempo de respuesta y el agendamiento de citas "
"2019/12/13 4:06:37 a. m. GMT","Si","Si","Si","Si","Si por accesibilidad"
"2019/12/13 4:14:48 a. m. GMT","Si","Si","Si","Si","Web, por facilidad en acceso"
"2019/12/13 10:10:46 a. m. GMT","Si","Si","Si","Si","Porque es más fácil."
"2019/12/13 11:46:41 a. m. GMT","Si","Si","Si","Si","Si, porque ahora se usa mucho la tecnología y es más práctico"
"2019/12/13 12:19:47 p. m. GMT","Si","Si","Si","Si","Es más práctico a la hora de solicitar una cita y el usuario se estaría ahorrando el tiempo de desplazarse asta el sitio para poder sacar la cita. Con esta nueva herramienta lo puede hacer cómodamente desde su casa. Y es en beneficio de todos ya que hay que tener en cuenta la población. Ya sean adultos mayores que se les dificulta salir solos mujeres embarazadas o personas discapacitadas. "
"2019/12/13 12:58:02 p. m. GMT","Si","Si","Si","Si","Si..mas comodo para la gente desde sus casas"